time,active events,action,level
198.9454734325409,2 positive events6 negative events,none,1
206.0341923236847,2 positive events6 negative events,none,1
213.14017796516418,2 positive events4 negative events,none,1
217.21556663513184,1 positive events8 negative events,1 posture positive events are no more active,1
219.34869050979614,2 positive events8 negative events,1 gaze negative events are no more active,1
220.28721952438354,2 positive events9 negative events,none,1
227.3945188522339,0 positive events8 negative events,none,1
234.6231701374054,4 positive events3 negative events,none,1
238.1558289527893,3 positive events6 negative events,1 posture positive events are no more active,1
239.8531928062439,5 positive events5 negative events,1 gaze negative events are no more active,1
241.3467137813568,4 positive events7 negative events,1 gaze positive events are no more active,1
241.3467137813568,3 positive events7 negative events,1 posture positive events are no more active,1
241.69390773773193,3 positive events8 negative events,none,1
248.80160331726074,3 positive events4 negative events,none,1
253.0255470275879,4 positive events5 negative events,1 gaze negative events are no more active,1
253.52405977249146,3 positive events6 negative events,1 posture positive events are no more active,1
255.21745467185974,4 positive events5 negative events,1 gaze negative events are no more active,1
255.9519066810608,4 positive events6 negative events,none,1
256.1898126602173,3 positive events6 negative events,1 posture positive events are no more active,1
256.9563956260681,4 positive events5 negative events,1 gaze negative events are no more active,1
257.8973033428192,4 positive events5 negative events,1 gaze negative events are no more active,1
258.5839464664459,3 positive events6 negative events,1 posture positive events are no more active,1
260.32703042030334,4 positive events5 negative events,1 gaze negative events are no more active,1
261.2661497592926,3 positive events6 negative events,1 posture positive events are no more active,1
261.8712558746338,4 positive events5 negative events,1 gaze negative events are no more active,1
262.98309898376465,4 positive events6 negative events,none,1
263.0866358280182,4 positive events5 negative events,1 gaze negative events are no more active,1
263.8128340244293,3 positive events7 negative events,1 posture positive events are no more active,1
265.53663873672485,4 positive events7 negative events,1 gaze negative events are no more active,1
266.5202646255493,3 positive events8 negative events,1 posture positive events are no more active,1
267.0201151371002,3 positive events7 negative events,1 gaze negative events are no more active,1
268.32905197143555,3 positive events7 negative events,1 gaze negative events are no more active,1
268.97239780426025,2 positive events8 negative events,1 posture positive events are no more active,1
270.00057101249695,2 positive events9 negative events,none,1
277.1286413669586,2 positive events7 negative events,none,1
284.30601382255554,1 positive events5 negative events,none,1
291.52138805389404,1 positive events7 negative events,none,1
298.67088294029236,1 positive events6 negative events,none,1
305.8306317329407,3 positive events4 negative events,none,1
310.5043122768402,3 positive events6 negative events,1 posture positive events are no more active,1
310.95845079421997,4 positive events5 negative events,1 gaze negative events are no more active,1
311.4021677970886,4 positive events5 negative events,1 gaze negative events are no more active,1
311.5952060222626,3 positive events5 negative events,1 posture positive events are no more active,1
312.78336930274963,4 positive events5 negative events,1 gaze negative events are no more active,1
312.9624307155609,4 positive events6 negative events,none,1
315.4742214679718,3 positive events6 negative events,1 posture positive events are no more active,1
315.85237646102905,4 positive events5 negative events,1 gaze negative events are no more active,1
316.5137314796448,4 positive events5 negative events,1 gaze negative events are no more active,1
316.655921459198,3 positive events5 negative events,1 posture positive events are no more active,1
317.73122477531433,4 positive events6 negative events,1 gaze negative events are no more active,1
320.0482528209686,4 positive events7 negative events,none,1
327.1162893772125,2 positive events6 negative events,none,1
334.18718433380127,1 positive events6 negative events,none,1
341.27647280693054,1 positive events5 negative events,none,1
