time,event
186.69533586502075,P2 positive posture event
186.96863460540771,P3 negative posture event
188.67829203605652,P2 individual negative gaze event
190.20314121246338,P3 individual negative gaze event
190.20314121246338,group negative gaze event
191.9434220790863,P2 positive posture event
192.17708659172058,P3 positive posture event
193.6021809577942,P3 negative posture event
193.83356189727783,P2 individual negative gaze event
195.35800218582153,P3 individual negative gaze event
195.35800218582153,group negative gaze event
197.00933384895325,P2 positive posture event
198.69127559661865,P3 negative posture event
198.9454734325409,P2 individual negative gaze event
200.53782296180725,P3 individual negative gaze event
200.53782296180725,group negative gaze event
202.04635572433472,P2 positive posture event
203.8389229774475,P3 positive posture event
204.0210063457489,P2 individual negative gaze event
205.6655285358429,P3 negative posture event
205.66652989387512,P3 individual negative gaze event
205.66652989387512,group negative gaze event
207.10667753219604,P2 positive posture event
209.21205067634583,P2 individual negative gaze event
210.80037713050842,P3 negative posture event
210.80137658119202,P3 individual negative gaze event
210.80137658119202,group negative gaze event
212.22307872772217,P2 positive posture event
214.38370037078857,P2 individual negative gaze event
215.95449113845825,P3 negative posture event
215.95649933815002,P3 individual negative gaze event
215.95649933815002,group negative gaze event
217.4546320438385,P2 positive posture event
217.9563558101654,P2 negative posture event
219.5761969089508,P2 individual negative gaze event
220.9696078300476,P3 negative posture event
220.97060871124268,P3 individual negative gaze event
220.97060871124268,group negative gaze event
223.04570841789246,P2 negative posture event
224.63944053649902,P2 individual negative gaze event
226.1738839149475,P3 negative posture event
226.174884557724,P3 individual negative gaze event
226.174884557724,group negative gaze event
228.14509773254395,P2 positive posture event
229.82453966140747,P2 individual negative gaze event
231.29303359985352,P3 positive posture event
231.29403376579285,P3 individual positive gaze event
232.5421781539917,group negative gaze event
233.28356313705444,P2 positive posture event
233.28356313705444,P3 negative posture event
234.86634516716003,P2 individual negative gaze event
236.40790963172913,P3 individual negative gaze event
237.64884161949158,group negative gaze event
238.38807678222656,P2 positive posture event
238.38807678222656,P3 positive posture event
240.00989842414856,P2 individual negative gaze event
240.875173330307,P3 negative posture event
241.51983284950256,P3 individual negative gaze event
242.7833125591278,group negative gaze event
243.48877716064453,P2 positive posture event
245.09302067756653,P2 individual negative gaze event
246.05018830299377,P3 positive posture event
246.72549962997437,P3 individual negative gaze event
247.8327031135559,group negative gaze event
248.55299496650696,P2 positive posture event
250.233904838562,P2 individual negative gaze event
251.20288562774658,P3 positive posture event
251.85526823997498,P3 individual negative gaze event
253.02454948425293,group negative gaze event
253.7752468585968,P2 positive posture event
255.46062207221985,P2 individual negative gaze event
256.42149353027344,P3 positive posture event
256.9563956260681,P3 individual negative gaze event
258.1214654445648,group negative gaze event
258.812625169754,P2 positive posture event
260.51214051246643,P2 individual negative gaze event
261.4352021217346,P3 positive posture event
262.0123429298401,P3 individual negative gaze event
263.20734214782715,group negative gaze event
263.44673109054565,P3 negative posture event
263.8128340244293,P2 positive posture event
265.1993715763092,P2 negative posture event
265.53563833236694,P2 individual negative gaze event
267.0201151371002,P3 individual negative gaze event
268.54107666015625,P3 negative posture event
269.3943576812744,group negative gaze event
270.3385760784149,P2 positive posture event
270.63991475105286,P2 individual negative gaze event
272.1192853450775,P2 negative posture event
272.12028908729553,P3 individual negative gaze event
273.5430541038513,P3 negative posture event
274.56853199005127,group negative gaze event
275.76861596107483,P2 individual negative gaze event
277.1276388168335,P2 positive posture event
277.1286413669586,P3 individual negative gaze event
278.56167459487915,P3 negative posture event
279.7074007987976,group negative gaze event
280.88191080093384,P2 individual negative gaze event
282.1744647026062,P2 positive posture event
282.1754643917084,P3 individual negative gaze event
283.6638684272766,P3 negative posture event
284.7102425098419,group negative gaze event
285.9591689109802,P2 individual negative gaze event
286.15417289733887,P2 negative posture event
287.34392499923706,P3 individual negative gaze event
288.7586750984192,P3 negative posture event
289.878538608551,group negative gaze event
291.0461971759796,P2 individual negative gaze event
