frame_index,bodyId,targets
332,1,[]
332,2,[]
334,3,[]
334,1,[]
334,2,[]
336,2,[]
336,3,[]
336,1,[]
338,3,[]
338,1,[]
338,2,[]
340,3,[]
340,1,[]
340,2,[]
342,3,[]
342,1,[]
342,2,[]
344,3,[]
344,1,[]
344,2,[]
346,3,[]
346,1,[]
346,2,[]
348,3,[]
348,1,[]
348,2,[]
350,1,[]
350,3,[]
350,2,[]
352,3,[]
352,1,[]
352,2,[]
354,1,[]
354,3,[]
354,2,[]
356,1,[]
356,2,[]
356,3,[]
358,3,[]
358,1,[]
358,2,[]
360,1,[]
360,3,[]
360,2,[]
362,2,[]
362,1,[]
362,3,[]
364,3,[]
364,1,[]
364,2,[]
366,3,[]
366,1,[]
366,2,[]
368,3,[]
368,1,[]
368,2,[]
370,1,[]
370,2,[]
370,3,[]
372,1,[]
372,2,[]
372,3,[]
374,1,[]
374,3,[]
374,2,[]
376,2,[]
376,1,[]
376,3,[<GamrTarget.BLUE_BLOCK: 'blue'>]
378,3,[]
378,1,[]
378,2,[]
380,1,[]
380,3,[<GamrTarget.YELLOW_BLOCK: 'yellow'>]
380,2,[]
382,1,[]
382,2,[]
382,3,[]
384,3,[]
384,1,[]
384,2,[]
386,3,[<GamrTarget.RED_BLOCK: 'red'>]
386,1,[<GamrTarget.RED_BLOCK: 'red'>]
386,2,[]
388,1,[]
388,2,[]
388,3,[<GamrTarget.BLUE_BLOCK: 'blue'>]
390,2,[]
390,1,[]
390,3,[]
392,3,[]
392,1,[]
392,2,[]
394,1,[]
394,3,[]
394,2,[]
396,3,[]
396,1,[]
396,2,[]
398,3,[]
398,1,[]
398,2,[]
400,1,[]
400,3,[]
400,2,[]
402,1,[]
402,2,[]
402,3,[]
404,1,[]
404,2,[]
404,3,[]
406,3,[]
406,2,[]
406,1,[]
408,1,[]
408,3,[]
408,2,[]
410,3,[]
410,1,[]
410,2,[]
412,3,[]
412,1,[]
412,2,[]
414,2,[]
414,1,[]
414,3,[]
416,3,[]
416,1,[]
416,2,[]
418,3,[]
418,1,[]
418,2,[]
420,3,[]
420,1,[]
420,2,[]
422,1,[]
422,3,[]
422,2,[]
424,1,[]
424,3,[]
424,2,[]
426,1,[]
426,3,[]
426,2,[]
428,3,[]
428,1,[]
428,2,[]
430,3,[]
430,1,[]
