frame_index,participant,engagement
0,P3,leaning out
0,P1,leaning out
0,P2,leaning out
1,P3,leaning out
1,P1,leaning in
1,P2,leaning out
4,P1,leaning in
4,P3,leaning out
4,P2,leaning out
6,P3,leaning out
6,P2,leaning out
6,P1,leaning in
8,P3,leaning out
8,P2,leaning out
8,P1,leaning out
10,P3,leaning out
10,P2,leaning out
10,P1,leaning in
12,P3,leaning out
12,P2,leaning out
12,P1,leaning in
14,P3,leaning out
14,P1,leaning in
14,P2,leaning out
16,P3,leaning out
16,P2,leaning out
16,P1,leaning in
18,P1,leaning in
18,P2,leaning out
18,P3,leaning out
20,P3,leaning out
20,P1,leaning in
20,P2,leaning out
22,P2,leaning out
22,P1,leaning in
22,P3,leaning out
24,P3,leaning out
24,P2,leaning out
24,P1,leaning in
26,P1,leaning in
26,P3,leaning out
26,P2,leaning out
28,P1,leaning in
28,P2,leaning out
28,P3,leaning out
30,P1,leaning in
30,P3,leaning out
30,P2,leaning out
32,P2,leaning out
32,P3,leaning out
32,P1,leaning in
34,P3,leaning out
34,P1,leaning in
34,P2,leaning out
36,P2,leaning out
36,P1,leaning in
36,P3,leaning out
38,P3,leaning out
38,P2,leaning out
38,P1,leaning in
40,P2,leaning out
40,P3,leaning out
40,P1,leaning in
42,P3,leaning out
42,P2,leaning out
42,P1,leaning in
44,P2,leaning out
44,P3,leaning out
44,P1,leaning in
46,P2,leaning out
46,P1,leaning in
46,P3,leaning out
48,P2,leaning out
48,P1,leaning in
48,P3,leaning out
50,P3,leaning out
50,P1,leaning in
50,P2,leaning out
52,P3,leaning out
52,P2,leaning out
52,P1,leaning in
54,P1,leaning in
54,P2,leaning out
54,P3,leaning out
56,P3,leaning out
56,P2,leaning out
56,P1,leaning in
58,P2,leaning out
58,P3,leaning out
58,P1,leaning in
60,P1,leaning in
60,P3,leaning out
60,P2,leaning out
62,P3,leaning out
62,P2,leaning out
62,P1,leaning in
64,P3,leaning out
64,P1,leaning in
64,P2,leaning out
66,P2,leaning out
66,P3,leaning out
66,P1,leaning in
68,P1,leaning in
68,P3,leaning out
68,P2,leaning out
70,P2,leaning out
70,P1,leaning in
70,P3,leaning out
72,P3,leaning out
72,P2,leaning out
72,P1,leaning in
74,P2,leaning out
74,P3,leaning out
74,P1,leaning in
76,P2,leaning out
76,P3,leaning out
76,P1,leaning in
78,P2,leaning out
78,P1,leaning in
78,P3,leaning out
80,P2,leaning out
80,P3,leaning out
80,P1,leaning in
82,P3,leaning out
82,P2,leaning out
82,P1,leaning in
84,P2,leaning out
84,P3,leaning out
84,P1,leaning in
86,P2,leaning out
86,P3,leaning out
86,P1,leaning in
88,P3,leaning out
88,P1,leaning in
88,P2,leaning out
90,P3,leaning out
90,P1,leaning in
90,P2,leaning out
92,P1,leaning in
92,P3,leaning out
92,P2,leaning out
94,P2,leaning out
94,P3,leaning out
94,P1,leaning in
96,P3,leaning out
96,P1,leaning in
96,P2,leaning out
98,P2,leaning out
98,P3,leaning out
98,P1,leaning in
100,P2,leaning out
100,P3,leaning out
100,P1,leaning in
102,P2,leaning out
102,P1,leaning in
102,P3,leaning out
104,P3,leaning out
104,P1,leaning in
104,P2,leaning out
106,P2,leaning out
106,P3,leaning out
106,P1,leaning in
108,P3,leaning out
108,P1,leaning in
108,P2,leaning out
110,P2,leaning out
110,P3,leaning out
110,P1,leaning in
112,P3,leaning out
112,P2,leaning out
112,P1,leaning in
114,P3,leaning out
114,P2,leaning out
114,P1,leaning in
116,P2,leaning out
116,P1,leaning in
116,P3,leaning out
118,P2,leaning out
118,P1,leaning in
118,P3,leaning out
120,P2,leaning out
120,P1,leaning in
120,P3,leaning out
122,P2,leaning out
122,P1,leaning in
122,P3,leaning out
124,P2,leaning out
124,P3,leaning out
124,P1,leaning in
126,P3,leaning out
126,P1,leaning in
126,P2,leaning out
128,P3,leaning out
128,P1,leaning in
128,P2,leaning out
130,P1,leaning in
130,P2,leaning out
130,P3,leaning out
132,P1,leaning in
132,P3,leaning out
132,P2,leaning out
134,P3,leaning out
134,P1,leaning in
134,P2,leaning out
136,P2,leaning out
136,P1,leaning in
136,P3,leaning out
138,P2,leaning out
138,P1,leaning in
138,P3,leaning out
140,P2,leaning out
140,P1,leaning in
140,P3,leaning out
142,P2,leaning out
142,P3,leaning out
142,P1,leaning in
144,P2,leaning out
144,P3,leaning out
144,P1,leaning in
146,P2,leaning out
146,P3,leaning out
146,P1,leaning in
148,P3,leaning out
148,P1,leaning in
148,P2,leaning out
150,P3,leaning out
150,P1,leaning in
150,P2,leaning out
152,P2,leaning out
152,P1,leaning in
152,P3,leaning out
154,P2,leaning out
154,P1,leaning in
154,P3,leaning out
156,P3,leaning out
156,P1,leaning in
156,P2,leaning out
158,P3,leaning out
158,P2,leaning out
158,P1,leaning in
160,P1,leaning in
160,P3,leaning out
160,P2,leaning out
162,P2,leaning out
162,P1,leaning in
162,P3,leaning out
164,P2,leaning out
164,P3,leaning out
164,P1,leaning in
166,P2,leaning out
166,P1,leaning in
166,P3,leaning out
168,P2,leaning out
168,P3,leaning out
168,P1,leaning in
170,P2,leaning out
170,P1,leaning in
170,P3,leaning out
172,P2,leaning out
172,P1,leaning in
172,P3,leaning out
174,P2,leaning out
174,P1,leaning in
174,P3,leaning out
176,P2,leaning out
176,P3,leaning out
176,P1,leaning in
178,P2,leaning out
178,P1,leaning in
178,P3,leaning out
180,P1,leaning in
180,P3,leaning out
180,P2,leaning out
182,P2,leaning out
182,P1,leaning in
182,P3,leaning out
184,P2,leaning out
184,P1,leaning in
184,P3,leaning out
186,P3,leaning out
186,P2,leaning out
186,P1,leaning in
188,P3,leaning out
188,P2,leaning out
188,P1,leaning in
190,P2,leaning out
190,P1,leaning in
