frame_index,participant,engagement
190,P3,leaning out
192,P2,leaning out
192,P1,leaning in
192,P3,leaning out
194,P1,leaning in
194,P2,leaning out
194,P3,leaning out
196,P2,leaning out
196,P1,leaning in
196,P3,leaning out
198,P2,leaning out
198,P1,leaning in
198,P3,leaning out
200,P2,leaning out
200,P1,leaning in
200,P3,leaning out
202,P1,leaning in
202,P2,leaning out
202,P3,leaning out
204,P2,leaning out
204,P3,leaning out
204,P1,leaning in
206,P1,leaning in
206,P2,leaning out
206,P3,leaning out
208,P1,leaning in
208,P3,leaning out
208,P2,leaning out
210,P3,leaning out
210,P1,leaning in
210,P2,leaning out
212,P1,leaning in
212,P2,leaning out
212,P3,leaning out
214,P1,leaning in
214,P3,leaning out
214,P2,leaning out
216,P1,leaning in
216,P3,leaning out
216,P2,leaning out
218,P2,leaning out
218,P1,leaning in
218,P3,leaning out
220,P1,leaning in
220,P2,leaning out
220,P3,leaning out
222,P1,leaning in
222,P3,leaning out
222,P2,leaning out
224,P3,leaning out
224,P2,leaning out
224,P1,leaning in
226,P1,leaning in
226,P3,leaning out
226,P2,leaning out
228,P2,leaning out
228,P1,leaning in
228,P3,leaning out
230,P2,leaning out
230,P3,leaning out
230,P1,leaning out
232,P1,leaning in
232,P2,leaning out
232,P3,leaning out
234,P2,leaning out
234,P1,leaning out
234,P3,leaning out
236,P2,leaning out
236,P1,leaning out
236,P3,leaning out
238,P2,leaning out
238,P3,leaning out
238,P1,leaning in
240,P3,leaning out
240,P2,leaning out
240,P1,leaning in
242,P2,leaning out
242,P3,leaning out
242,P1,leaning out
244,P2,leaning out
244,P3,leaning out
244,P1,leaning in
246,P2,leaning out
246,P3,leaning out
246,P1,leaning in
248,P2,leaning out
248,P3,leaning out
248,P1,leaning in
250,P2,leaning out
250,P3,leaning out
250,P1,leaning in
252,P1,leaning in
252,P3,leaning out
252,P2,leaning out
254,P2,leaning out
254,P3,leaning out
254,P1,leaning in
256,P2,leaning out
256,P3,leaning out
256,P1,leaning in
258,P2,leaning out
258,P3,leaning out
258,P1,leaning in
260,P1,leaning in
260,P3,leaning out
260,P2,leaning out
262,P2,leaning out
262,P3,leaning out
262,P1,leaning in
264,P2,leaning out
264,P3,leaning out
264,P1,leaning in
266,P2,leaning out
266,P3,leaning out
266,P1,leaning in
268,P2,leaning out
268,P3,leaning out
268,P1,leaning in
270,P1,leaning in
270,P2,leaning out
270,P3,leaning out
272,P1,leaning in
272,P2,leaning out
272,P3,leaning out
274,P1,leaning in
274,P3,leaning out
274,P2,leaning out
276,P3,leaning out
276,P2,leaning out
276,P1,leaning in
278,P2,leaning out
278,P3,leaning out
278,P1,leaning in
280,P2,leaning out
280,P3,leaning out
280,P1,leaning in
282,P1,leaning in
282,P2,leaning out
282,P3,leaning out
284,P1,leaning in
284,P2,leaning out
284,P3,leaning out
286,P3,leaning out
286,P1,leaning in
286,P2,leaning out
288,P3,leaning out
288,P2,leaning out
288,P1,leaning in
290,P2,leaning out
290,P3,leaning out
290,P1,leaning in
292,P1,leaning in
292,P2,leaning out
292,P3,leaning out
294,P1,leaning in
294,P3,leaning out
294,P2,leaning out
296,P2,leaning out
296,P1,leaning in
296,P3,leaning out
298,P2,leaning out
298,P1,leaning in
298,P3,leaning out
300,P1,leaning in
300,P3,leaning out
300,P2,leaning out
302,P1,leaning in
302,P2,leaning out
302,P3,leaning out
304,P2,leaning out
304,P1,leaning in
304,P3,leaning out
306,P3,leaning out
306,P2,leaning out
306,P1,leaning in
308,P2,leaning out
308,P3,leaning out
308,P1,leaning in
310,P2,leaning out
310,P3,leaning out
310,P1,leaning in
312,P2,leaning out
312,P3,leaning out
312,P1,leaning in
314,P3,leaning out
314,P2,leaning out
314,P1,leaning in
316,P1,leaning in
316,P2,leaning out
316,P3,leaning out
318,P2,leaning out
318,P1,leaning in
318,P3,leaning out
320,P2,leaning out
320,P1,leaning in
320,P3,leaning out
322,P2,leaning out
322,P3,leaning out
322,P1,leaning in
324,P3,leaning out
324,P2,leaning out
324,P1,leaning in
326,P2,leaning out
326,P3,leaning out
326,P1,leaning in
328,P3,leaning out
328,P2,leaning out
328,P1,leaning in
330,P3,leaning out
330,P2,leaning out
330,P1,leaning in
332,P2,leaning out
332,P3,leaning out
332,P1,leaning in
334,P2,leaning out
334,P3,leaning out
334,P1,leaning in
336,P1,leaning in
336,P2,leaning out
336,P3,leaning out
338,P2,leaning out
338,P3,leaning out
338,P1,leaning out
340,P2,leaning out
340,P3,leaning out
340,P1,leaning in
342,P2,leaning out
342,P3,leaning out
342,P1,leaning in
344,P2,leaning out
344,P3,leaning out
344,P1,leaning in
346,P2,leaning out
346,P3,leaning out
346,P1,leaning in
348,P2,leaning out
348,P3,leaning out
348,P1,leaning in
350,P3,leaning out
350,P2,leaning out
350,P1,leaning in
352,P2,leaning out
352,P3,leaning out
352,P1,leaning in
354,P3,leaning out
354,P2,leaning out
354,P1,leaning in
356,P3,leaning out
356,P1,leaning in
356,P2,leaning out
358,P2,leaning out
358,P3,leaning out
358,P1,leaning in
360,P3,leaning out
360,P2,leaning out
360,P1,leaning in
362,P1,leaning in
362,P3,leaning out
362,P2,leaning out
364,P2,leaning out
364,P3,leaning out
364,P1,leaning in
366,P2,leaning out
366,P3,leaning out
366,P1,leaning in
368,P2,leaning out
368,P3,leaning out
368,P1,leaning in
370,P3,leaning out
370,P1,leaning in
370,P2,leaning out
372,P3,leaning out
372,P1,leaning in
372,P2,leaning out
374,P3,leaning out
374,P2,leaning out
374,P1,leaning in
376,P1,leaning in
376,P3,leaning out
376,P2,leaning out
378,P2,leaning out
378,P3,leaning out
378,P1,leaning in
380,P3,leaning out
380,P2,leaning out
380,P1,leaning in
382,P3,leaning out
382,P1,leaning in
382,P2,leaning out
384,P2,leaning out
384,P3,leaning out
384,P1,leaning in
386,P2,leaning out
386,P3,leaning out
386,P1,leaning in
388,P3,leaning out
388,P1,leaning in
388,P2,leaning out
390,P1,leaning in
390,P3,leaning out
390,P2,leaning out
392,P2,leaning out
392,P3,leaning out
392,P1,leaning in
394,P3,leaning out
394,P2,leaning out
394,P1,leaning in
396,P2,leaning out
396,P3,leaning out
396,P1,leaning in
398,P2,leaning out
398,P3,leaning out
398,P1,leaning in
400,P3,leaning out
400,P2,leaning out
400,P1,leaning out
402,P3,leaning out
402,P1,leaning in
402,P2,leaning out
404,P3,leaning out
404,P1,leaning in
404,P2,leaning out
406,P2,leaning out
406,P1,leaning in
406,P3,leaning out
408,P3,leaning out
408,P2,leaning out
408,P1,leaning in
410,P2,leaning out
410,P3,leaning out
410,P1,leaning in
412,P2,leaning out
412,P3,leaning out
412,P1,leaning in
414,P1,leaning in
414,P3,leaning out
414,P2,leaning out
416,P2,leaning out
416,P3,leaning out
416,P1,leaning in
418,P2,leaning out
418,P3,leaning out
418,P1,leaning out
420,P2,leaning out
420,P3,leaning out
420,P1,leaning out
422,P3,leaning out
422,P2,leaning out
422,P1,leaning out
424,P3,leaning out
424,P2,leaning out
424,P1,leaning out
426,P3,leaning out
426,P2,leaning out
426,P1,leaning out
428,P2,leaning out
428,P3,leaning out
428,P1,leaning out
430,P2,leaning out
430,P3,leaning out
430,P1,leaning out
